[PAT NO.    4]
[SET NO.   15]


[========================]
[ Transposed Convolution ]
[========================]

[ image  index ] 10
[ kernel index ] 2

[***]    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19 
__________________________________________________________________________________________________________
   0|    1    2    2    4    4    4    6    2    0    4    6    1    2    6    3    4    4    2    0    0 
   1|    4    6   10   16   13   12   10    9    7   13   12    8   11   17   14   11    8    2    4    0 
   2|    4    7   14   17   21   14   16   17   16   14   17   22   15   17   21   18   11   11   10    0 
   3|    3   12   14   26   24   20   21   27   20   16   26   26   25   24   27   24   14   13    9    4 
   4|    6   10   17   16   25   25   26   30   28   23   29   22   26   22   21   28   16   14    9    6 
   5|    2   10   12   23   25   26   21   28   32   25   24   25   28   21   24   24   22   11    4    6 
   6|    6    4   11   14   20   25   31   33   31   34   24   27   28   28   21   26   22    7    8    3 
   7|    1    9   15   19   20   29   29   26   28   30   21   25   32   28   36   28   24   15    6    1 
   8|    6    7   10   12   27   22   23   34   27   34   28   27   32   38   36   31   28   16    9    2 
   9|    0    8    7   16   23   20   30   31   25   25   30   23   37   38   34   38   24   21   11    3 
  10|    4    3    9   15   19   22   25   32   23   26   24   19   29   33   35   39   30   20   11    4 
  11|    4    9   12   14   20   28   34   28   31   25   22   25   25   35   26   34   30   17   13    4 
  12|    2    6   11   19   29   35   32   36   31   23   27   22   22   29   28   28   27   18    9    4 
  13|   10   14   14   28   33   33   41   34   28   33   24   25   24   27   32   20   21   16    7    4 
  14|    4   13   25   31   39   41   35   29   25   28   34   30   32   32   30   26   20   14    7    2 
  15|    4   16   20   28   43   38   35   35   28   29   30   31   32   30   37   31   19   15    8    1 
  16|    4   14   20   25   30   24   18   22   18   21   31   26   28   34   27   28   20   13    9    2 
  17|    0    4   14   17   18   19   16   14   15   13   13   19   20   22   23   24   16   10    7    3 
  18|    0    4    7    7    7    7    5    9    9    6    9   12   10   13   12   14   10    6    4    2 
  19|    0    0    2    3    1    2    1    0    2    2    0    3    3    3    3    4    3    2    1    1 

